"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_A","1:2","raw_age_year","Undersampling","full","1yr",0.00855774077885785
"Method_B","1:2","raw_age_year","Undersampling","full","1yr",0.00855774077885785
"Method_C","1:2","raw_age_year","Undersampling","full","1yr",0.00855774077885785
"Method_A","6:4","raw_age_year","Undersampling","full","1yr",0.00434809293416716
"Method_B","6:4","raw_age_year","Undersampling","full","1yr",0.00434809293416716
"Method_C","6:4","raw_age_year","Undersampling","full","1yr",0.00434809293416716
"Method_A","7:3","raw_age_year","Undersampling","full","1yr",0.00486835447671197
"Method_B","7:3","raw_age_year","Undersampling","full","1yr",0.00486835447671197
"Method_C","7:3","raw_age_year","Undersampling","full","1yr",0.00486835447671197
"Method_A","8:2","raw_age_year","Undersampling","full","1yr",0.00189348683626334
"Method_B","8:2","raw_age_year","Undersampling","full","1yr",0.00189348683626334
"Method_C","8:2","raw_age_year","Undersampling","full","1yr",0.00189348683626334
"Method_A","1:2","age_cat_compas","Undersampling","full","1yr",0.00855774077885785
"Method_B","1:2","age_cat_compas","Undersampling","full","1yr",0.00855774077885785
"Method_C","1:2","age_cat_compas","Undersampling","full","1yr",0.00855774077885785
"Method_A","6:4","age_cat_compas","Undersampling","full","1yr",0.00434809293416716
"Method_B","6:4","age_cat_compas","Undersampling","full","1yr",0.00434809293416716
"Method_C","6:4","age_cat_compas","Undersampling","full","1yr",0.00434809293416716
"Method_A","7:3","age_cat_compas","Undersampling","full","1yr",0.00486835447671197
"Method_B","7:3","age_cat_compas","Undersampling","full","1yr",0.00486835447671197
"Method_C","7:3","age_cat_compas","Undersampling","full","1yr",0.00486835447671197
"Method_A","8:2","age_cat_compas","Undersampling","full","1yr",0.00189348683626334
"Method_B","8:2","age_cat_compas","Undersampling","full","1yr",0.00189348683626334
"Method_C","8:2","age_cat_compas","Undersampling","full","1yr",0.00189348683626334
"Method_A","1:2","age_cat_nij","Undersampling","full","1yr",0.00855774077885785
"Method_B","1:2","age_cat_nij","Undersampling","full","1yr",0.00855774077885785
"Method_C","1:2","age_cat_nij","Undersampling","full","1yr",0.00855774077885785
"Method_A","6:4","age_cat_nij","Undersampling","full","1yr",0.00434809293416716
"Method_B","6:4","age_cat_nij","Undersampling","full","1yr",0.00434809293416716
"Method_C","6:4","age_cat_nij","Undersampling","full","1yr",0.00434809293416716
"Method_A","7:3","age_cat_nij","Undersampling","full","1yr",0.00486835447671197
"Method_B","7:3","age_cat_nij","Undersampling","full","1yr",0.00486835447671197
"Method_C","7:3","age_cat_nij","Undersampling","full","1yr",0.00486835447671197
"Method_A","8:2","age_cat_nij","Undersampling","full","1yr",0.00189348683626334
"Method_B","8:2","age_cat_nij","Undersampling","full","1yr",0.00189348683626334
"Method_C","8:2","age_cat_nij","Undersampling","full","1yr",0.00189348683626334
"Method_A","1:2","raw_age_year","Oversampling","full","1yr",0.0147385018463315
"Method_B","1:2","raw_age_year","Oversampling","full","1yr",0.0147385018463315
"Method_C","1:2","raw_age_year","Oversampling","full","1yr",0.0147385018463315
"Method_A","6:4","raw_age_year","Oversampling","full","1yr",0.00506197748137605
"Method_B","6:4","raw_age_year","Oversampling","full","1yr",0.00506197748137605
"Method_C","6:4","raw_age_year","Oversampling","full","1yr",0.00506197748137605
"Method_A","7:3","raw_age_year","Oversampling","full","1yr",0.00901784587977683
"Method_B","7:3","raw_age_year","Oversampling","full","1yr",0.00901784587977683
"Method_C","7:3","raw_age_year","Oversampling","full","1yr",0.00901784587977683
"Method_A","8:2","raw_age_year","Oversampling","full","1yr",0.00918538743552044
"Method_B","8:2","raw_age_year","Oversampling","full","1yr",0.00918538743552044
"Method_C","8:2","raw_age_year","Oversampling","full","1yr",0.00918538743552044
"Method_A","1:2","age_cat_compas","Oversampling","full","1yr",0.0147385018463315
"Method_B","1:2","age_cat_compas","Oversampling","full","1yr",0.0147385018463315
"Method_C","1:2","age_cat_compas","Oversampling","full","1yr",0.0147385018463315
"Method_A","6:4","age_cat_compas","Oversampling","full","1yr",0.00506197748137605
"Method_B","6:4","age_cat_compas","Oversampling","full","1yr",0.00506197748137605
"Method_C","6:4","age_cat_compas","Oversampling","full","1yr",0.00506197748137605
"Method_A","7:3","age_cat_compas","Oversampling","full","1yr",0.00901784587977683
"Method_B","7:3","age_cat_compas","Oversampling","full","1yr",0.00901784587977683
"Method_C","7:3","age_cat_compas","Oversampling","full","1yr",0.00901784587977683
"Method_A","8:2","age_cat_compas","Oversampling","full","1yr",0.00918538743552044
"Method_B","8:2","age_cat_compas","Oversampling","full","1yr",0.00918538743552044
"Method_C","8:2","age_cat_compas","Oversampling","full","1yr",0.00918538743552044
"Method_A","1:2","age_cat_nij","Oversampling","full","1yr",0.0147385018463315
"Method_B","1:2","age_cat_nij","Oversampling","full","1yr",0.0147385018463315
"Method_C","1:2","age_cat_nij","Oversampling","full","1yr",0.0147385018463315
"Method_A","6:4","age_cat_nij","Oversampling","full","1yr",0.00506197748137605
"Method_B","6:4","age_cat_nij","Oversampling","full","1yr",0.00506197748137605
