"preprocessing","split","age_category","imbalancing_method","predictor_method","define_recid_method","recidivism_prob"
"Method_A","1:2","raw_age_year","Undersampling","full","1yr",0.999999990800337
"Method_B","1:2","raw_age_year","Undersampling","full","1yr",0.999999990800337
"Method_C","1:2","raw_age_year","Undersampling","full","1yr",0.999999990800337
"Method_A","6:4","raw_age_year","Undersampling","full","1yr",0.999508390154658
"Method_B","6:4","raw_age_year","Undersampling","full","1yr",0.999508390154658
"Method_C","6:4","raw_age_year","Undersampling","full","1yr",0.999508390154658
"Method_A","7:3","raw_age_year","Undersampling","full","1yr",0.999999768000045
"Method_B","7:3","raw_age_year","Undersampling","full","1yr",0.999999768000045
"Method_C","7:3","raw_age_year","Undersampling","full","1yr",0.999999768000045
"Method_A","8:2","raw_age_year","Undersampling","full","1yr",1
"Method_B","8:2","raw_age_year","Undersampling","full","1yr",1
"Method_C","8:2","raw_age_year","Undersampling","full","1yr",1
"Method_A","1:2","age_cat_compas","Undersampling","full","1yr",0.999999990800337
"Method_B","1:2","age_cat_compas","Undersampling","full","1yr",0.999999990800337
"Method_C","1:2","age_cat_compas","Undersampling","full","1yr",0.999999990800337
"Method_A","6:4","age_cat_compas","Undersampling","full","1yr",0.999508390154658
"Method_B","6:4","age_cat_compas","Undersampling","full","1yr",0.999508390154658
"Method_C","6:4","age_cat_compas","Undersampling","full","1yr",0.999508390154658
"Method_A","7:3","age_cat_compas","Undersampling","full","1yr",0.999999768000045
"Method_B","7:3","age_cat_compas","Undersampling","full","1yr",0.999999768000045
"Method_C","7:3","age_cat_compas","Undersampling","full","1yr",0.999999768000045
"Method_A","8:2","age_cat_compas","Undersampling","full","1yr",1
"Method_B","8:2","age_cat_compas","Undersampling","full","1yr",1
"Method_C","8:2","age_cat_compas","Undersampling","full","1yr",1
"Method_A","1:2","age_cat_nij","Undersampling","full","1yr",0.999999990800337
"Method_B","1:2","age_cat_nij","Undersampling","full","1yr",0.999999990800337
"Method_C","1:2","age_cat_nij","Undersampling","full","1yr",0.999999990800337
"Method_A","6:4","age_cat_nij","Undersampling","full","1yr",0.999508390154658
"Method_B","6:4","age_cat_nij","Undersampling","full","1yr",0.999508390154658
"Method_C","6:4","age_cat_nij","Undersampling","full","1yr",0.999508390154658
"Method_A","7:3","age_cat_nij","Undersampling","full","1yr",0.999999768000045
"Method_B","7:3","age_cat_nij","Undersampling","full","1yr",0.999999768000045
"Method_C","7:3","age_cat_nij","Undersampling","full","1yr",0.999999768000045
"Method_A","8:2","age_cat_nij","Undersampling","full","1yr",1
"Method_B","8:2","age_cat_nij","Undersampling","full","1yr",1
"Method_C","8:2","age_cat_nij","Undersampling","full","1yr",1
"Method_A","1:2","raw_age_year","Oversampling","full","1yr",0.696453262025653
"Method_B","1:2","raw_age_year","Oversampling","full","1yr",0.696453262025653
"Method_C","1:2","raw_age_year","Oversampling","full","1yr",0.696453262025653
"Method_A","6:4","raw_age_year","Oversampling","full","1yr",0.739519224471623
"Method_B","6:4","raw_age_year","Oversampling","full","1yr",0.739519224471623
"Method_C","6:4","raw_age_year","Oversampling","full","1yr",0.739519224471623
"Method_A","7:3","raw_age_year","Oversampling","full","1yr",0.881192863936032
"Method_B","7:3","raw_age_year","Oversampling","full","1yr",0.881192863936032
"Method_C","7:3","raw_age_year","Oversampling","full","1yr",0.881192863936032
"Method_A","8:2","raw_age_year","Oversampling","full","1yr",0.751965206451793
"Method_B","8:2","raw_age_year","Oversampling","full","1yr",0.751965206451793
"Method_C","8:2","raw_age_year","Oversampling","full","1yr",0.751965206451793
"Method_A","1:2","age_cat_compas","Oversampling","full","1yr",0.696453262025653
"Method_B","1:2","age_cat_compas","Oversampling","full","1yr",0.696453262025653
"Method_C","1:2","age_cat_compas","Oversampling","full","1yr",0.696453262025653
"Method_A","6:4","age_cat_compas","Oversampling","full","1yr",0.739519224471623
"Method_B","6:4","age_cat_compas","Oversampling","full","1yr",0.739519224471623
"Method_C","6:4","age_cat_compas","Oversampling","full","1yr",0.739519224471623
"Method_A","7:3","age_cat_compas","Oversampling","full","1yr",0.881192863936032
